,num,Area99,Mean_Dist,P_massfill,P_2dcat,P_3dcat,DegArea,P_2d,P_onlymass
121,3261,5475,243.2330228,0.397550057,0.315359107,0.385173799,2327.186295,0.350310913,0.012515574
122,3283,3966,259.5625033,0.406746096,0.38161302,0.394713462,2305.495842,0.37879436,0.049630511
123,3284,2143,172.3854804,0.573888334,0.212096286,0.226859775,882.9614348,0.51948188,0.086248182
124,3344,2648,216.4567082,0.864775361,0.824599652,0.858339782,1209.603398,0.851479648,0.064946681
125,3353,1018,201.0023846,0.849816329,0.826944679,0.845520531,577.7869873,0.794780723,0.31988376
126,3359,4311,251.3455867,0.42534428,0.39250945,0.414370338,1993.895565,0.409845887,0.036346882
127,3360,4375,383.1361569,0.67632517,0.670737916,0.666943192,2187.863819,0.671947363,0.152975857
128,3383,3340,454.0894625,0.68912103,0.676810536,0.679106928,1850.756933,0.678273902,0.247931796
129,3401,5656,206.8439596,0.378948693,0.280193589,0.375510386,2355.459945,0.294749245,0.047255595
130,3439,3536,368.2672065,0.76786981,0.757480881,0.761600748,1473.075524,0.763757362,0.123737238
131,3453,5905,339.6258926,0.222991779,0.191900203,0.212190234,2460.686182,0.145708221,0.069287918
132,3502,4465,214.2411458,0.879627039,0.855556569,0.877264635,1178.575822,0.85078132,0.075996913
133,3535,5577,490.9227465,0.775372234,0.656130313,0.631242137,2284.815162,0.773546056,0.014503212
134,3565,1692,229.6839903,0.767457377,0.717832691,0.754269442,650.7922792,0.756180764,0.103346246
135,3661,4075,373.0791576,0.361708754,0.342038187,0.343119404,2293.037601,0.326621231,0.033361232
136,3665,3057,644.9902508,0.929389043,0.91398885,0.91171937,1427.43902,0.92752036,0.016206304
137,3677,2119,179.6919033,0.674390993,0.606873524,0.654187977,968.1626889,0.610568767,0.043684476
138,3683,3211,452.341237,0.367518423,0.171995046,0.174609782,1353.882943,0.358366157,0.052153547
139,3737,4208,791.0594016,0.666003602,0.63098917,0.616232281,3259.888896,0.662471778,0.013319927
140,3739,5095,374.9314004,0.273693816,0.211108329,0.235185991,2840.42648,0.235934036,0.053937018
141,3777,3390,216.6471776,0.592832359,0.539773382,0.590162136,1588.92405,0.548811762,0.171241366
142,3792,2215,284.0058168,0.70330901,0.692271323,0.695398228,1027.608169,0.661614321,0.060263658
143,3796,4854,304.7899928,0.31973512,0.28156951,0.301948254,2731.869303,0.285679128,0.060703057
144,3815,6246,655.837238,0.318113902,0.28383581,0.274293373,3258.761097,0.302648517,0.025632906
145,3837,805,241.4306883,0.954818035,0.916760656,0.917603934,308.1250835,0.936801279,0.393400906
146,3843,6268,311.879612,0.637965203,0.621516427,0.626328313,2638.563635,0.626313877,0.030147342
147,3862,4188,425.8297568,0.647668097,0.612817363,0.634254253,3033.371848,0.638369339,0.013659613
148,3889,4942,211.5972304,0.775770724,0.743148938,0.770550622,2706.611859,0.733533635,0.1216854
149,3904,3775,372.444086,0.514330898,0.486375479,0.464872987,2241.01461,0.49546026,0.039363385
150,3918,4431,249.6164398,0.663457075,0.630086438,0.65191304,2230.838194,0.638068714,0.019024068
151,3931,4809,767.4554836,0.486497099,0.449893064,0.439739322,2718.978302,0.478296114,0.055646887
152,3933,795,168.8445391,0.883723079,0.857173475,0.874388672,547.7560696,0.848579084,0.200915712
153,4082,5703,356.5871205,0.187851938,0.129943767,0.13732756,3250.538658,0.157023457,0.033826654
154,4111,4778,412.7528373,0.288937991,0.25068816,0.261883707,2537.363377,0.256499871,0.050378225
155,4130,4306,419.0132453,0.56287718,0.538222094,0.547636182,2393.503479,0.553588871,0.076088567
156,4192,5318,441.4476078,0.533716279,0.496249917,0.509523409,2741.71787,0.527805629,0.047860949
