,RA_Center,DEC_Center
1023,249.72973,72.0
1024,252.97297,72.0
1025,256.21622,72.0
1026,259.45946,72.0
1027,262.7027,72.0
1028,265.94595,72.0
1029,269.18919,72.0
1030,272.43243,72.0
1031,275.67568,72.0
1032,278.91892,72.0
1033,282.16216,72.0
1034,285.40541,72.0
1035,288.64865,72.0
1036,291.89189,72.0
1037,295.13514,72.0
1038,298.37838,72.0
1039,301.62162,72.0
1040,304.86486,72.0
1041,308.10811,72.0
1042,311.35135,72.0
1043,314.59459,72.0
1044,317.83784,72.0
1045,321.08108,72.0
1046,324.32432,72.0
1047,327.56757,72.0
1048,330.81081,72.0
1049,334.05405,72.0
1050,337.2973,72.0
1051,340.54054,72.0
1052,343.78378,72.0
1053,347.02703,72.0
1054,350.27027,72.0
1055,353.51351,72.0
1056,356.75676,72.0
1057,0.0,71.0
1058,3.07692,71.0
1059,6.15385,71.0
1060,9.23077,71.0
1061,12.30769,71.0
1062,15.38462,71.0
1063,18.46154,71.0
1064,21.53846,71.0
1065,24.61538,71.0
1066,27.69231,71.0
1067,30.76923,71.0
1068,33.84615,71.0
1069,36.92308,71.0
1070,40.0,71.0
1071,43.07692,71.0
1072,46.15385,71.0
1073,49.23077,71.0
1074,52.30769,71.0
1075,55.38462,71.0
1076,58.46154,71.0
1077,61.53846,71.0
1078,64.61538,71.0
1079,67.69231,71.0
1080,70.76923,71.0
1081,73.84615,71.0
1082,76.92308,71.0
1083,80.0,71.0
1084,83.07692,71.0
1085,86.15385,71.0
1086,89.23077,71.0
1087,92.30769,71.0
1088,95.38462,71.0
1089,98.46154,71.0
1090,101.53846,71.0
1091,104.61538,71.0
1092,107.69231,71.0
1093,110.76923,71.0
1094,113.84615,71.0
1095,116.92308,71.0
1096,120.0,71.0
1097,123.07692,71.0
1098,126.15385,71.0
1099,129.23077,71.0
1100,132.30769,71.0
1101,135.38462,71.0
1102,138.46154,71.0
1103,141.53846,71.0
1104,144.61538,71.0
1105,147.69231,71.0
1106,150.76923,71.0
1107,153.84615,71.0
1108,156.92308,71.0
1109,160.0,71.0
1110,163.07692,71.0
1111,166.15385,71.0
1112,169.23077,71.0
1113,172.30769,71.0
1114,175.38462,71.0
1115,178.46154,71.0
1116,181.53846,71.0
1117,184.61538,71.0
1118,187.69231,71.0
1119,190.76923,71.0
1120,193.84615,71.0
1121,196.92308,71.0
1122,200.0,71.0
1123,203.07692,71.0
1124,206.15385,71.0
1125,209.23077,71.0
1126,212.30769,71.0
1127,215.38462,71.0
1128,218.46154,71.0
1129,221.53846,71.0
1130,224.61538,71.0
1131,227.69231,71.0
1132,230.76923,71.0
1133,233.84615,71.0
1134,236.92308,71.0
1135,240.0,71.0
1136,243.07692,71.0
1137,246.15385,71.0
1138,249.23077,71.0
1139,252.30769,71.0
1140,255.38462,71.0
1141,258.46154,71.0
1142,261.53846,71.0
1143,264.61538,71.0
1144,267.69231,71.0
1145,270.76923,71.0
1146,273.84615,71.0
1147,276.92308,71.0
1148,280.0,71.0
1149,283.07692,71.0
1150,286.15385,71.0
1151,289.23077,71.0
1152,292.30769,71.0
1153,295.38462,71.0
1154,298.46154,71.0
1155,301.53846,71.0
1156,304.61538,71.0
1157,307.69231,71.0
1158,310.76923,71.0
1159,313.84615,71.0
1160,316.92308,71.0
1161,320.0,71.0
1162,323.07692,71.0
1163,326.15385,71.0
