num,Area99,Mean_Dist,P_massfill,P_3dcat,P_2dcat,DegArea,P_2d,P_onlymass,P_2dcat_dcut,P_massdcut
6236,3156,,,,,,,,,
6254,342,,,,,,,,,
6348,5019,,,,,,,,,
6361,2218,,,,,,,,,
6391,6717,,,,,,,,,
6417,4760,,,,,,,,,
6436,6141,,,,,,,,,
6472,4569,,,,,,,,,
6509,3283,,,,,,,,,
6519,2671,,,,,,,,,
6582,6666,,,,,,,,,
6601,1374,,,,,,,,,
6620,2822,,,,,,,,,
6625,7919,,,,,,,,,
6648,495,,,,,,,,,
6666,3540,,,,,,,,,
6669,6030,,,,,,,,,
6681,2160,,,,,,,,,
6740,681,,,,,,,,,
6776,6281,,,,,,,,,
6807,3246,,,,,,,,,
6850,4051,,,,,,,,,
6875,1318,,,,,,,,,
6917,2734,,,,,,,,,
6925,565,,,,,,,,,
6928,2479,,,,,,,,,
6933,4974,,,,,,,,,
6934,2984,,,,,,,,,
6938,2243,,,,,,,,,
6946,1104,,,,,,,,,
6948,394,,,,,,,,,
6992,4542,,,,,,,,,
7013,252,,,,,,,,,
7033,847,,,,,,,,,
7043,3922,,,,,,,,,
7090,644,,,,,,,,,
7146,1962,,,,,,,,,
7176,6944,,,,,,,,,
7209,6956,,,,,,,,,
7239,4970,,,,,,,,,
7245,2053,,,,,,,,,
7271,757,,,,,,,,,
7290,3638,,,,,,,,,
7309,882,,,,,,,,,
7312,403,,,,,,,,,
7313,3670,,,,,,,,,
7318,3833,,,,,,,,,
7345,3392,,,,,,,,,
7352,1236,,,,,,,,,
7465,2806,,,,,,,,,
7483,3425,,,,,,,,,
7511,2602,,,,,,,,,
7522,411,,,,,,,,,
7543,993,,,,,,,,,
7570,4370,,,,,,,,,
7578,5273,,,,,,,,,
7584,4164,,,,,,,,,
7603,5696,,,,,,,,,
7614,6220,,,,,,,,,
7629,6604,,,,,,,,,
7632,1657,,,,,,,,,
7641,1846,,,,,,,,,
7653,2975,,,,,,,,,
7655,3120,,,,,,,,,
7668,3668,,,,,,,,,
7671,4251,,,,,,,,,
7762,3168,,,,,,,,,
7786,5455,,,,,,,,,
7799,4913,,,,,,,,,
7801,843,,,,,,,,,
7824,3045,,,,,,,,,
7834,4048,,,,,,,,,
7844,4764,,,,,,,,,
7858,263,,,,,,,,,
7900,769,,,,,,,,,
7906,399,,,,,,,,,
7916,5258,,,,,,,,,
7929,1808,,,,,,,,,
7952,5514,,,,,,,,,
7954,1624,,,,,,,,,
7956,1689,,,,,,,,,
7975,4866,,,,,,,,,
7998,2023,,,,,,,,,
8022,5901,,,,,,,,,
8082,2674,,,,,,,,,
8120,226,,,,,,,,,
8148,4902,,,,,,,,,
8157,5956,,,,,,,,,
8165,3882,,,,,,,,,
8183,4818,,,,,,,,,
8209,4182,,,,,,,,,
