,Gal10,Gal50,GalTot,LocArea90,EventDist
1152,538,17715,165340,6819.473969242835,748.9184127244034
1153,1743,60831,513158,10738.434341396718,757.744075778725
1154,259,8700,70367,1776.78464691204,1070.3642222567953
1155,181,3399,22130,356.82438186520693,497.20968226926857
1156,53,1637,13771,1239.7416256825447,551.6082340132558
1157,190,6345,59389,1692.8683963541298,645.0399456708299
1158,335,9936,81594,2098.07674546944,702.3938783588715
1159,890,22035,164093,3075.696474581972,608.3454448354731
1160,71,2597,24541,1079.095576403845,1094.19190523008
1161,0,93,528,24.455082511880452,536.8663962920535
1162,1661,55724,507112,10714.789865735534,746.8131095455683
1163,5309,136510,1006582,25463.32990206159,508.1423199042016
1164,18,191,914,43.3350914156297,406.7809107283668
1165,1694,60927,482247,32124.803564102618,1174.6049702810026
1166,204,7631,78162,2716.63616199007,1047.0765488769455
1167,145,2346,17750,260.8367281757829,402.0901116573301
1168,744,19423,141740,2472.165659895905,924.8632122201901
1169,261,10062,110021,6257.930786252937,732.1860960627575
1170,228,8429,78037,1934.2046612419595,1630.17340790491
1171,5171,106225,767077,11995.656880033426,580.3460976211875
1172,718,29623,260762,5003.029419103766,815.9074886491189
1173,1333,37531,332530,7109.604012730968,624.0053247066603
1174,6,167,750,46.83815883714583,476.1079230612803
1175,82,2406,17680,875.1734485439441,597.6046985760131
1176,721,28812,245582,30735.35293445553,1606.540634901619
1177,1251,30350,225853,4676.177000146841,1165.1037006248566
1178,1010,37968,349411,9445.620506617774,822.5054296281722
1179,198,4741,35484,445.59607730029586,629.8555768397956
1180,330,4933,37567,906.7518719450143,372.4292320837894
1181,426,17199,165874,3802.4985434084297,776.8019969476895
1182,0,14,75,9.193707830403962,279.70751579928594
1183,90,1414,9486,289.3268132417401,376.506935668381
1184,1298,35551,279245,5434.845999564911,1749.3032902929601
1185,136,4884,39753,2168.079081065334,854.0950948018237
1186,182,2978,22565,539.534674238716,505.60069994214035
1187,123,4303,39263,1544.8773215696297,505.7174233513498
1188,172,5819,48007,625.2213098294935,537.4053313503199
1189,6,129,910,54.22951634936683,781.9796814604058
1190,534,19826,160602,3614.1033479849357,1026.9078311784847
1191,951,29739,294930,8519.092778157472,736.8817152708986
1192,49,1322,10708,6490.939684504687,951.4887220553853
1193,7,189,1070,57.04246145714489,710.2066033131367
1194,256,7722,59546,1065.4963965587826,1018.2386997137049
1195,783,19543,139909,2436.062919188618,1169.1220621222558
1196,1360,37423,284164,20598.99375782897,1089.957502276373
1197,351,10370,92392,2391.4098744707426,735.8562884316942
1198,1223,30160,213921,3246.54518723527,1021.1385139355018
1199,5858,142618,1062694,25465.00848935201,506.73679229829855
1200,1174,43679,365520,32325.394745308087,1313.9569387663298
1201,800,16120,124088,3021.6800601347095,797.0604763296622
1202,10,254,1705,58.88005555144512,510.38361630783226
1203,1,9,67,3.737479513830977,219.58467652229922
1204,41,801,5429,191.86056020079175,298.27791918398924
1205,32,775,4368,206.65311069763857,559.0380220434675
1206,223,4049,35478,480.79723303714076,440.40042027625617
1207,1873,38921,306439,3856.790351083027,568.517197754199
1208,3568,84358,635585,9135.291681300945,921.9854153798796
1209,479,10381,98071,3080.574868894762,665.759394329232
1210,122,3777,32951,2099.781560686275,655.0872599820357
1211,491,14118,107640,2250.7757330450463,1194.0199528935293
1212,3464,91923,746919,25329.882212473014,440.0794860793543
1213,100,3289,27886,1282.5849434779336,717.0659372978002
1214,5,96,410,33.129969172930245,372.457557908287
1215,113,3629,38057,495.69797373044054,885.6127139886654
1216,3578,83506,661954,8268.091522386507,734.110526584265
1217,130,5263,50504,1391.9553966195137,1049.270823388164
1218,32,1688,14892,915.6562529621765,702.0001231888203
1219,6,65,507,11.714047634138668,317.5564900731409
1220,1594,48603,350792,9567.632820290348,1043.940322863644
1221,3255,70323,529024,6245.7610283973745,655.8856565376616
1222,135,4142,33218,3053.5076488367017,327.274909150748
1223,1348,31818,222394,3384.543422056475,1184.2840036558691
1224,273,11155,96877,2001.4530645645043,738.0366830752777
1225,69,2554,22134,636.246874395295,852.9790477670307
1226,4,32,121,12.729560159936163,236.18192568304855
1227,224,6953,54907,1328.8903475598183,893.2442390421546
1228,97,3531,34876,1311.7897395386408,925.8809772093454
1229,499,12690,90095,6830.988028938075,1127.1014878631513
1230,1598,59243,461825,32413.52057805526,1572.7567343798994
1231,570,10917,85689,1746.0455171561812,448.1480133510402
1232,74,1686,13902,612.3335624883799,723.0336062026194
1233,573,18777,169852,2497.055962061698,909.1758906725743
1234,1,13,65,4.5562825915321055,405.9103919081454
1235,367,13399,128664,3594.4848590281244,809.7077564031597
1236,194,6602,61546,15729.989042694862,1921.1333569573815
1237,304,6090,48235,961.3190728469466,814.386395218424
1238,6,912,8650,3759.3757342722038,869.5291695476269
1239,12,116,645,26.29185698348028,278.2795968579595
1240,317,9277,68513,2325.4204116160145,793.8841737704665
1241,22,339,2251,29.190042852100092,479.30005270049065
1242,604,17974,136086,4271.440753706963,521.622015412623
1243,165,6568,62733,1580.8489226448519,1065.2274276767394
1244,192,5236,39232,1760.7495484013846,1164.4511038411604
1245,304,9764,82668,2158.414090182199,429.0385724396761
1246,1214,40571,368405,10067.405958087184,1317.2887876521343
1247,234,5272,34305,483.21020226712284,665.8059086444208
1248,12,355,4257,825.8649468877882,569.1230224548658
1249,249,9288,88594,1748.8125633927366,1227.247183163507
1250,288,10355,101558,1964.091383389401,768.9512557410023
1251,11,237,1189,33.64960996498482,541.5602518671396
1252,2580,57794,461963,6746.688194956377,599.2278124724181
1253,232,6779,55671,1363.7341477992882,896.4578265215541
1254,289,8718,73669,1900.1345848316687,1086.8695325840213
1255,155,6972,64126,740.8208954941254,747.7178410552206
1256,7,76,373,28.25731221904315,168.53788919100867
1257,11,104,446,22.834688433186628,309.61010499016464
1258,483,14709,132748,3232.539474530809,1110.468272632292
1259,157,6019,48597,965.4893131465896,589.8389196550106
1260,132,2563,13517,391.01576243515717,578.9023427687562
1261,113,3594,32019,905.1650823970369,806.3341043163168
1262,667,22782,190761,3334.5792222399978,693.8803771464414
1263,19,653,5266,217.30164882125527,552.3702279657441
1264,117,1326,14908,588.6202385203628,208.55787282963212
1265,10,167,890,31.84070266519864,385.71685997438476
1266,415,13478,120754,3452.329497870483,1426.805714513654
1267,863,31642,259029,27616.957395673442,1825.8655515502119
1268,50,1436,10716,860.6595697652339,782.5303867014551
1269,14,930,7169,113.65216212847777,652.2389611345175
1270,230,6520,51594,1343.2370233076467,904.7703403645818
1271,41,1448,14090,405.54275517707384,454.9906642628399
1272,40,563,4855,145.66252669265953,378.04997083711334
1273,2,32,297,15.89330378348607,506.1481427792215
1274,43,741,5728,212.79372396904685,407.6697102996738
1275,0,20,172,19.05950627513718,324.7332810167021
1276,231,8251,71317,2570.690865465772,1964.7816824804586
1277,41,1449,11091,836.9331318340104,485.11421986748206
1278,379,12873,94685,3689.744687759592,1823.3587134574907
1279,785,23038,209030,5178.336879247247,595.4696980541956
1280,22,573,3627,244.7426168306985,412.67785375458993
